DATE (MM/DD/YYYY),MST,Station Pressure [mBar]
11/1/2005,00:00,
11/1/2005,00:01,817.41
11/1/2005,00:02,817.29
11/1/2005,00:03,817.30
11/1/2005,00:04,817.18
11/1/2005,00:05,817.3
11/1/2005,00:06,817.43
11/1/2005,00:07,817.4
11/1/2005,00:08,817.34
11/1/2005,00:09,NaN
11/1/2005,00:10,817.13
11/1/2005,00:11,
11/1/2005,00:12,817.04
11/1/2005,00:13,817.02
11/1/2005,00:14,817.02
11/1/2005,00:15,816.94
11/1/2005,00:16,816.86
11/1/2008,00:17,817.14
11/1/2006,00:18,
11/1/2006,00:19,817.21
11/1/2006,00:20,817.21
11/1/2006,00:21,817.21
11/1/2006,00:22,817.21

